,daily_return
1/30/09,-0.021527524
2/2/09,0.012859021
2/3/09,0.006912992
2/4/09,0.001102518
2/5/09,0.01764486
2/6/09,0.041223658
2/9/09,-0.004083652
2/10/09,-0.033452913
2/11/09,0.03071876
2/12/09,0.024482301
2/13/09,0.003767694
2/17/09,-0.050369191
2/18/09,-0.006939609
2/19/09,-0.014502042
2/20/09,-0.006810424
2/23/09,-0.036585383
2/24/09,0.040184289
2/25/09,-0.006959089
2/26/09,-0.02127877
2/27/09,-0.002921782
3/2/09,-0.048071219
3/3/09,-0.017463466
3/4/09,0.035398342
3/5/09,-0.049412802
3/6/09,-0.003390084
3/9/09,-0.014144612
3/10/09,0.079590438
3/11/09,0.011736918
3/12/09,0.048754167
3/13/09,-0.00828986
3/16/09,-0.024573408
3/17/09,0.051665328
3/18/09,0.05972676
3/19/09,-0.002118655
3/20/09,-0.033014264
3/23/09,0.073091465
3/24/09,-0.02693052
3/25/09,0.005630736
3/26/09,0.074457792
3/27/09,-0.033172947
3/30/09,0.002836754
3/31/09,0.030040298
4/1/09,0.025507338
4/2/09,0.036289215
4/3/09,0.036522843
4/6/09,-0.006395313
4/7/09,-0.035870802
4/8/09,0.026458334
4/9/09,0.041406409
4/13/09,-0.014218536
4/14/09,-0.010956402
4/15/09,0.003472142
4/16/09,0.02957856
4/17/09,0.01273595
4/20/09,-0.04013513
4/21/09,0.018106189
4/22/09,0.001692647
4/23/09,0.004125124
4/24/09,0.013849863
4/27/09,-0.007596102
4/28/09,0.00150311
4/29/09,0.019293865
4/30/09,0.017668301
5/1/09,0.00905712
5/4/09,0.037918339
5/5/09,0.000412791
5/6/09,-0.001519731
5/7/09,-0.036291779
5/8/09,-0.01035793
5/11/09,0.002422735
5/12/09,-0.018259423
5/13/09,-0.033748423
5/14/09,0.020292327
5/15/09,-0.009723097
5/18/09,0.035133912
5/19/09,0.015065965
5/20/09,-0.000429069
5/21/09,-0.021688527
5/22/09,0.0061291
5/26/09,0.031417772
5/27/09,-0.002677521
5/28/09,0.013025307
5/29/09,0.006349723
6/1/09,0.04352574
6/2/09,-0.005995457
6/3/09,-0.013562884
6/4/09,0.028734762
6/5/09,0.000284918
6/8/09,-0.005208297
6/9/09,0.016387913
