,daily_return
1/30/09,-0.02052803
2/2/09,-0.006408745
2/3/09,-0.002157188
2/4/09,-0.001698936
2/5/09,0.016873879
2/6/09,0.045912695
2/9/09,-0.015833373
2/10/09,-0.06194835
2/11/09,0.007338621
2/12/09,0.011951773
2/13/09,0.022074685
2/17/09,-0.062306743
2/18/09,-0.027036058
2/19/09,-0.032445134
2/20/09,-0.009951428
2/23/09,-0.08020287
2/24/09,0.029861242
2/25/09,-0.002118842
2/26/09,-0.031002756
2/27/09,-0.008109342
3/2/09,-0.052891703
3/3/09,0.001956968
3/4/09,0.045704368
3/5/09,-0.038717809
3/6/09,-0.006693384
3/9/09,-0.021564826
3/10/09,0.08512988
3/11/09,0.018372915
3/12/09,0.04613267
3/13/09,0.001611978
3/16/09,-0.020608202
3/17/09,0.044427261
3/18/09,0.039417517
3/19/09,-0.002935379
3/20/09,-0.03646153
3/23/09,0.072341103
3/24/09,-0.025759993
3/25/09,0.00777318
3/26/09,0.056932863
3/27/09,-0.031428295
3/30/09,-0.030254545
3/31/09,0.030059041
4/1/09,0.021090885
4/2/09,0.050074391
4/3/09,0.018391001
4/6/09,-0.000250019
4/7/09,-0.0192314
4/8/09,0.039284801
4/9/09,0.040426449
4/13/09,-0.010582773
4/14/09,-0.000232788
4/15/09,0.004855332
4/16/09,0.026045574
4/17/09,0.007317088
4/20/09,-0.050913114
4/21/09,0.024511046
4/22/09,0.000754979
4/23/09,-0.004481137
4/24/09,0.017171414
4/27/09,-0.00493235
4/28/09,0.000340101
4/29/09,0.022867895
4/30/09,0.017838189
5/1/09,0.012598151
5/4/09,0.033347645
5/5/09,-0.00525521
5/6/09,0.002892503
5/7/09,-0.03400379
5/8/09,0.009465208
5/11/09,-0.007519746
5/12/09,-0.016265641
5/13/09,-0.03554119
5/14/09,0.022929951
5/15/09,-0.000762627
5/18/09,0.03725361
5/19/09,0.017863605
5/20/09,-0.000951952
5/21/09,-0.015277219
5/22/09,0.001775531
5/26/09,0.033715406
5/27/09,-0.008877188
5/28/09,0.009371644
5/29/09,0.013776598
6/1/09,0.047068949
6/2/09,-0.004529451
6/3/09,-0.013639782
6/4/09,0.02589044
6/5/09,-0.003510254
6/8/09,-0.003722219
6/9/09,0.027132869
6/10/09,-0.003957362
6/11/09,0.008757775
6/12/09,-0.002555127
6/15/09,-0.019853285
6/16/09,-0.018752529
6/17/09,0.00848298
6/18/09,-0.006546718
6/19/09,0.01041162
6/22/09,-0.039088566
6/23/09,-0.007183827
6/24/09,0.018143378
6/25/09,0.017370187
6/26/09,0.006442878
6/29/09,0.003031605
6/30/09,-0.019395273
7/1/09,-0.015382443
7/2/09,-0.03053497
7/6/09,0.00289775
7/7/09,-0.009565031
7/8/09,-0.005966972
7/9/09,0.024154992
7/10/09,0.008855806
7/13/09,0.014645262
7/14/09,-0.002482733
7/15/09,0.008703705
7/16/09,0.021916421
7/17/09,0.026000337
7/20/09,0.003504149
7/21/09,0.00925239
7/22/09,0.000162006
7/23/09,0.008846361
7/24/09,-0.000501135
7/27/09,-0.023305075
7/28/09,0.004035948
7/29/09,-0.007810447
7/30/09,0.011206248
7/31/09,-0.008068864
8/3/09,0.008763486
8/4/09,-0.004620164
8/5/09,-0.00651767
8/6/09,-0.003378355
8/7/09,0.027100354
8/10/09,-0.013724069
8/11/09,-0.012233576
8/12/09,0.027421488
8/13/09,-0.017853411
8/14/09,-0.055546901
8/17/09,-0.024746953
8/18/09,-0.035875071
8/19/09,-0.024722794
8/20/09,0.035968463
8/21/09,0.032783717
8/24/09,-0.002102834
8/25/09,0.009447452
8/26/09,-0.015118146
8/27/09,0.018570282
8/28/09,0.00735475
8/31/09,-0.012450922
9/1/09,-0.024660801
9/2/09,0.001553274
9/3/09,0.015421464
9/4/09,0.022234034
9/8/09,0.016352246
9/9/09,0.015906883
9/10/09,0.016137515
9/11/09,0.00132349
9/14/09,0.003588463
9/15/09,0.00890458
9/16/09,0.010966467
9/17/09,-0.00513015
9/18/09,0.002664322
9/21/09,-0.000455475
9/22/09,0.008019949
9/23/09,-0.004050272
9/24/09,-0.012753481
9/25/09,-0.007570315
9/28/09,0.022679905
9/29/09,-0.005749263
9/30/09,-0.000301698
10/1/09,-0.034262185
10/2/09,-0.008937253
10/5/09,0.022755958
10/6/09,0.016519565
10/7/09,0.01121049
10/8/09,0.01009261
10/9/09,0.016202576
10/12/09,0.002292874
10/13/09,0.004728408
10/14/09,0.025800042
10/15/09,-0.017501182
10/16/09,-0.008350652
10/19/09,-0.008256326
10/20/09,-0.004093911
10/21/09,-0.011791986
10/22/09,0.006335943
10/23/09,-0.017311731
10/26/09,-0.006582081
10/27/09,-0.01787006
10/28/09,-0.026192184
10/29/09,0.034465486
10/30/09,-0.027237592
11/2/09,0.002958663
11/3/09,0.003301028
11/4/09,0.003325484
11/5/09,0.02871094
11/6/09,-0.00044067
11/9/09,0.024441853
11/10/09,-0.005314413
11/11/09,0.009825901
11/12/09,-0.005843312
11/13/09,0.011884521
11/16/09,0.017650439
11/17/09,0.004182097
11/18/09,-0.008549095
11/19/09,-0.02244408
11/20/09,-0.006985285
11/23/09,0.015035387
11/24/09,0.000270386
11/25/09,0.00306319
11/27/09,-0.018336519
11/30/09,0.014739854
12/1/09,0.014954098
12/2/09,0.010409257
12/3/09,0.000537198
12/4/09,0.020926345
12/7/09,-0.001539893
12/8/09,-0.002033006
12/9/09,0.003248503
12/10/09,0.002999728
12/11/09,-0.002884485
12/14/09,0.00581334
12/15/09,-0.006022146
12/16/09,0.009017321
12/17/09,-0.012651913
12/18/09,0.000599195
12/21/09,0.014009787
12/22/09,0.008643602
12/23/09,0.009006902
12/24/09,0.007140609
12/28/09,0.001710965
12/29/09,0.000948683
12/30/09,0.006218406
12/31/09,-0.009607068
