,daily_return
1/30/09,-0.012966707
2/2/09,-0.007463904
2/3/09,0.013124724
2/4/09,-0.009144963
2/5/09,0.019643228
2/6/09,0.02975716
2/9/09,-0.009436874
2/10/09,-0.059687386
2/11/09,0.009196449
2/12/09,0.007953939
2/13/09,0.018052618
2/17/09,-0.062946591
2/18/09,-0.017957474
2/19/09,-0.029232125
2/20/09,-0.014124976
2/23/09,-0.050601002
2/24/09,0.049933324
2/25/09,-0.014235628
2/26/09,-0.032321271
2/27/09,-0.004573334
3/2/09,-0.06185331
3/3/09,-0.003019657
3/4/09,0.079741304
3/5/09,-0.044625918
3/6/09,-0.004607665
3/9/09,-0.022646771
3/10/09,0.099101847
3/11/09,0.009031436
3/12/09,0.06123731
3/13/09,0.008918488
3/16/09,-0.02689543
3/17/09,0.05793008
3/18/09,0.028010775
3/19/09,-0.001183649
3/20/09,-0.035125439
3/23/09,0.093014492
3/24/09,-0.030052914
3/25/09,0.008723666
3/26/09,0.06153175
3/27/09,-0.028291356
3/30/09,-0.035641768
3/31/09,0.030059041
4/1/09,0.021090885
4/2/09,0.050074391
4/3/09,0.018391001
4/6/09,-0.000250019
4/7/09,-0.0192314
4/8/09,0.039284801
4/9/09,0.040426449
4/13/09,-0.010582773
4/14/09,-0.000232788
4/15/09,0.004855332
4/16/09,0.026045574
4/17/09,0.007317088
4/20/09,-0.050913114
4/21/09,0.024511046
4/22/09,0.000754979
4/23/09,-0.004481137
4/24/09,0.017171414
4/27/09,-0.00493235
4/28/09,0.000340101
4/29/09,0.022867895
4/30/09,0.033152491
5/1/09,0.014773875
5/4/09,0.052393591
5/5/09,-0.00940646
5/6/09,-0.00382033
5/7/09,-0.042857466
5/8/09,0.02300788
5/11/09,0.005126751
5/12/09,-0.014452412
5/13/09,-0.026856328
5/14/09,0.005029927
5/15/09,-0.01365623
5/18/09,0.028832265
5/19/09,0.018532027
5/20/09,0.003307364
5/21/09,-0.017866926
5/22/09,0.002596258
5/26/09,0.045194381
5/27/09,-0.008801177
5/28/09,0.008398939
5/29/09,-0.005869837
6/1/09,0.042818984
6/2/09,-0.027775304
6/3/09,-0.010817113
6/4/09,0.02645353
6/5/09,-0.009419049
6/8/09,-0.021835574
6/9/09,0.033962337
6/10/09,0.016143825
6/11/09,0.020326432
6/12/09,-0.00681939
6/15/09,-0.029227382
6/16/09,-0.018212464
6/17/09,0.020370224
6/18/09,-0.010000369
6/19/09,0.01371762
6/22/09,-0.035000027
6/23/09,-0.004763567
6/24/09,0.020528268
6/25/09,0.003105659
6/26/09,0.020913846
6/29/09,0.007509309
6/30/09,0.012354001
7/1/09,0.022672773
7/2/09,-0.025412366
7/6/09,-0.035179577
7/7/09,-0.039507005
7/8/09,-0.003915031
7/9/09,0.016815359
7/10/09,-0.002132965
7/13/09,0.027492854
7/14/09,0.014508412
7/15/09,0.05932281
7/16/09,0.008297138
7/17/09,0.000632027
7/20/09,0.01382589
7/21/09,0.006291745
7/22/09,0.009471047
7/23/09,0.030988709
7/24/09,-0.000270989
7/27/09,0.009053738
7/28/09,-0.000966886
7/29/09,0.0011862
7/30/09,0.008817802
7/31/09,0.007253834
8/3/09,0.022203194
8/4/09,0.035538185
8/5/09,-0.009370641
8/6/09,-0.013266477
8/7/09,0.009544324
8/10/09,-0.001585134
8/11/09,-0.029411454
8/12/09,0.025957505
8/13/09,0.028128196
8/14/09,-0.012078441
8/17/09,-0.053149828
8/18/09,0.040969556
8/19/09,0.009133517
8/20/09,0.007259821
8/21/09,0.037063418
8/24/09,0.022254589
8/25/09,-0.00216661
8/26/09,0.014677424
8/27/09,0.016407057
8/28/09,0.019145169
8/31/09,-0.004525106
9/1/09,-0.04859938
9/2/09,-0.027037162
9/3/09,0.042321386
9/4/09,0.057088945
9/8/09,0.031641079
9/9/09,0.029001878
9/10/09,0.03660838
9/11/09,-0.010439811
9/14/09,-0.019547721
9/15/09,0.03786379
9/16/09,0.017309314
9/17/09,0.029724183
9/18/09,0.011604475
9/21/09,-0.00245311
9/22/09,0.036259784
9/23/09,0.00329834
9/24/09,0.001785442
9/25/09,-0.025531053
9/28/09,0.038064026
9/29/09,-0.018082919
9/30/09,-0.000301698
10/1/09,-0.034262185
10/2/09,-0.008937253
10/5/09,0.022755958
10/6/09,0.016519565
10/7/09,0.01121049
10/8/09,0.01009261
10/9/09,0.016202576
10/12/09,0.002292874
10/13/09,0.004728408
10/14/09,0.025800042
10/15/09,-0.017501182
10/16/09,-0.008350652
10/19/09,-0.008256326
10/20/09,-0.004093911
10/21/09,-0.011791986
10/22/09,0.006335943
10/23/09,-0.017311731
10/26/09,-0.006582081
10/27/09,-0.01787006
10/28/09,-0.026192184
10/29/09,0.034465486
10/30/09,-0.027613278
11/2/09,-0.000904902
11/3/09,0.01025274
11/4/09,0.001723695
11/5/09,0.028260943
11/6/09,-0.014426204
11/9/09,0.032548081
11/10/09,-0.006166474
11/11/09,0.027542533
11/12/09,0.002648176
11/13/09,0.019121742
11/16/09,0.016573994
11/17/09,0.009096474
11/18/09,-0.015775101
11/19/09,-0.026962
11/20/09,-0.01075764
11/23/09,0.018005331
11/24/09,-0.001275525
11/25/09,-0.005256324
11/27/09,-0.031380052
11/30/09,-0.012868583
12/1/09,0.029019392
12/2/09,0.006234995
12/3/09,-0.007854019
12/4/09,0.016545254
12/7/09,0.003880978
12/8/09,-0.005178974
12/9/09,-0.000509402
12/10/09,-0.010071076
12/11/09,0.000990647
12/14/09,0.024578635
12/15/09,-0.001501884
12/16/09,0.002913534
12/17/09,-0.015753775
12/18/09,0.039561027
12/21/09,0.009519911
12/22/09,0.004867118
12/23/09,0.013517796
12/24/09,0.011862542
12/28/09,-0.009004917
12/29/09,-0.002649571
12/30/09,0.004659348
12/31/09,-0.008958726
1/4/10,0.01875566
1/5/10,0.002601127
1/6/10,0.010737801
1/7/10,-0.002999562
1/8/10,0.010663185
1/11/10,-0.004041208
1/12/10,-0.011680235
1/13/10,0.006134582
1/14/10,-0.001375375
1/15/10,-0.016031652
1/19/10,0.023842144
1/20/10,-0.010414784
1/21/10,-0.013336386
1/22/10,-0.026225433
1/25/10,-0.000658738
1/26/10,0.000165768
1/27/10,0.007930258
1/28/10,-0.00640871
1/29/10,-0.021678331
2/1/10,0.028241889
2/2/10,0.010234533
2/3/10,0.006123651
2/4/10,-0.035452388
2/5/10,0.009126912
2/8/10,0.002123647
2/9/10,0.016938546
2/10/10,0.015684995
2/11/10,0.017957303
2/12/10,0.007567631
2/16/10,0.018879203
2/17/10,0.001981377
2/18/10,0.008766792
2/19/10,-0.001086919
2/22/10,-0.003250169
2/23/10,-0.015814442
2/24/10,0.009531627
2/25/10,-0.003033381
2/26/10,-0.000260508
3/1/10,0.023261828
3/2/10,0.004046126
3/3/10,0.002127423
3/4/10,0.011848358
3/5/10,0.01508246
3/8/10,0.000669121
3/9/10,0.01096369
3/10/10,0.009071592
3/11/10,0.001899634
3/12/10,0.005504755
3/15/10,0.005470514
3/16/10,0.001475217
3/17/10,-0.000264021
3/18/10,0.009107868
3/19/10,-0.015754842
3/22/10,0.014109266
3/23/10,0.0136626
3/24/10,-0.018231993
3/25/10,-0.004021304
3/26/10,0.000565057
3/29/10,0.002678519
3/30/10,0.010017673
3/31/10,-0.009052907
4/1/10,0.004483639
4/5/10,0.020969205
4/6/10,0.005416908
4/7/10,0.006488439
4/8/10,-0.00124553
4/9/10,0.004661763
4/12/10,0.009495224
4/13/10,0.003974297
4/14/10,0.024841826
4/15/10,0.005480863
4/16/10,-0.01139231
4/19/10,-0.010975283
4/20/10,0.018665903
4/21/10,0.00126819
4/22/10,0.006433993
4/23/10,0.009482053
4/26/10,0.002028569
4/27/10,-0.034638953
4/28/10,-0.002789189
4/29/10,0.027765344
4/30/10,-0.036865753
5/3/10,0.02525287
5/4/10,-0.032907336
5/5/10,-0.020750034
5/6/10,-0.034322798
5/7/10,-0.027513523
5/10/10,0.057754539
5/11/10,0.004904101
5/12/10,0.027709061
5/13/10,-0.009603504
5/14/10,-0.024320958
5/17/10,0.001523924
5/18/10,-0.017658873
5/19/10,-0.005955925
5/20/10,-0.047046506
5/21/10,0.009640102
5/24/10,-0.007519781
5/25/10,-0.000891302
5/26/10,0.002793546
5/27/10,0.046285067
5/28/10,-0.017082164
6/1/10,-0.02992438
6/2/10,0.0257019
6/3/10,0.019494845
6/4/10,-0.044412858
6/7/10,-0.033852524
6/8/10,-0.004274395
6/9/10,-0.005159901
6/10/10,0.035252828
6/11/10,0.019188907
6/14/10,0.005368406
6/15/10,0.038640326
6/16/10,0.002858815
6/17/10,0.003090902
6/18/10,0.011905409
6/21/10,-0.016703103
6/22/10,-0.015492413
6/23/10,-0.000112861
6/24/10,-0.021293053
6/25/10,0.002540606
6/28/10,0.006825746
6/29/10,-0.04797056
6/30/10,-0.017037743
7/1/10,-0.005185101
7/2/10,-0.009489885
7/6/10,-0.008981495
7/7/10,0.047050132
7/8/10,0.00855701
7/9/10,0.020161645
7/12/10,-0.000322904
7/13/10,0.032800835
7/14/10,0.003686051
7/15/10,-0.002503354
7/16/10,-0.035426547
7/19/10,0.010973979
7/20/10,0.01056398
7/21/10,-0.018234409
7/22/10,0.041284503
7/23/10,0.035683503
7/26/10,0.014816474
7/27/10,0.008314376
7/28/10,-0.01621578
7/29/10,-0.006496533
7/30/10,0.002506008
8/2/10,0.010400728
8/3/10,0.00308913
8/4/10,0.012898054
8/5/10,-0.003543409
8/6/10,-0.000289057
8/9/10,0.008614333
8/10/10,-0.020119281
8/11/10,-0.03634807
8/12/10,-0.020261159
8/13/10,-0.007033394
8/16/10,0.011526538
8/17/10,0.017608135
8/18/10,0.003928224
8/19/10,-0.017903023
8/20/10,0.009226687
8/23/10,-0.014852403
8/24/10,-0.010220051
8/25/10,0.014432972
8/26/10,-0.014472046
8/27/10,0.023523064
8/30/10,-0.0208499
8/31/10,-0.002581461
9/1/10,0.038447768
9/2/10,0.017543268
9/3/10,0.018720564
9/7/10,-0.019113247
9/8/10,0.010616227
9/9/10,0.004480596
9/10/10,-0.006036374
9/13/10,0.022200018
9/14/10,0.014979131
9/15/10,0.001624166
9/16/10,-5.48E-05
9/17/10,0.006694318
9/20/10,0.017817305
9/21/10,-0.00552916
9/22/10,-0.016465715
9/23/10,-0.006683038
9/24/10,0.03800686
9/27/10,-0.002163105
9/28/10,0.011855517
9/29/10,0.003369861
9/30/10,-0.006559094
10/1/10,0.001489448
10/4/10,-0.011050499
10/5/10,0.018820096
10/6/10,-0.011847847
10/7/10,0.004082261
10/8/10,0.001249011
10/11/10,0.001897655
10/12/10,0.001249723
10/13/10,0.003633901
10/14/10,-0.004013881
10/15/10,0.001375523
10/18/10,0.000541331
10/19/10,-0.039734932
10/20/10,0.009548017
10/21/10,-0.008907186
10/22/10,0.016458825
10/25/10,0.011423872
10/26/10,-0.002176127
10/27/10,0.001758612
10/28/10,-0.003884587
10/29/10,0.013127659
11/1/10,-0.007644861
11/2/10,0.017681413
11/3/10,0.013650972
11/4/10,0.006550784
11/5/10,0.004893247
11/8/10,0.006513183
11/9/10,-0.010796604
11/10/10,0.006128016
11/11/10,-0.010706965
11/12/10,-0.000886262
11/15/10,-0.009560585
11/16/10,-0.014814963
11/17/10,0.002799875
11/18/10,0.021619485
11/19/10,0.006075742
11/22/10,0.019882596
11/23/10,-0.008252393
11/24/10,0.020997885
11/26/10,-0.007048733
11/29/10,-0.001508801
11/30/10,-0.01606712
12/1/10,0.027305839
12/2/10,0.020723769
12/3/10,0.011244481
12/6/10,0.005074635
12/7/10,0.001873688
12/8/10,0.00924612
12/9/10,0.033828479
12/10/10,0.014122226
12/13/10,-0.004284723
12/14/10,-0.01270852
12/15/10,-0.00234525
12/16/10,0.020468828
12/17/10,0.010337369
12/20/10,0.004964859
12/21/10,0.007037264
12/22/10,-0.008243278
12/23/10,-0.005666474
12/27/10,0.012182345
12/28/10,-0.000990441
12/29/10,-0.000266554
12/30/10,0.002349993
12/31/10,-0.005579768
1/3/11,0.018795098
1/4/11,0.011056814
1/5/11,0.011399566
1/6/11,0.014621688
1/7/11,-0.001248242
1/10/11,0.020732723
1/11/11,-0.001111648
1/12/11,0.011292005
1/13/11,-0.001295598
1/14/11,0.014933166
1/18/11,0.001861317
1/19/11,-0.023376507
1/20/11,-0.011254124
1/21/11,-0.012313758
1/24/11,0.021611014
1/25/11,-0.006624721
1/26/11,-0.001748602
1/27/11,0.023223093
1/28/11,-0.022169368
1/31/11,-0.001273851
2/1/11,0.025011231
2/2/11,0.009692379
2/3/11,0.004221827
2/4/11,0.046397569
2/7/11,-0.001159757
2/8/11,0.007455841
2/9/11,-0.002083606
2/10/11,0.010230151
2/11/11,0.012733522
2/14/11,0.009765464
2/15/11,-0.014704743
2/16/11,0.013273848
2/17/11,0.003002783
2/18/11,-0.00931808
2/22/11,-0.038403895
2/23/11,-0.020726699
2/24/11,0.018952896
2/25/11,0.024910742
2/28/11,-0.00418128
3/1/11,-0.025302939
3/2/11,0.016188928
3/3/11,0.024247726
3/4/11,-0.004546966
3/7/11,-0.037198549
3/8/11,-0.00076188
3/9/11,-0.016031713
3/10/11,-0.021181556
3/11/11,0.0180868
3/14/11,-0.00992374
3/15/11,-0.007655806
3/16/11,-0.010536595
3/17/11,0.000829428
3/18/11,-0.015305745
3/21/11,0.025227601
3/22/11,-0.013589134
3/23/11,0.01076426
3/24/11,0.031407825
3/25/11,-0.00290624
3/28/11,-0.004752996
3/29/11,0.016346582
3/30/11,0.017968262
3/31/11,-0.003435538
4/1/11,0.001150956
4/4/11,-0.007545632
4/5/11,0.004151913
4/6/11,0.005846661
4/7/11,-0.005240285
4/8/11,-0.002324372
4/11/11,-0.009861363
4/12/11,-0.005283015
4/13/11,0.013266632
4/14/11,-0.000636985
4/15/11,-0.005723482
4/18/11,-0.017817914
4/19/11,0.004304786
4/20/11,0.037930636
4/21/11,0.011299982
4/25/11,0.001030562
4/26/11,0.000645538
4/27/11,0.007418577
4/28/11,0.000816745
4/29/11,0.006100636
5/2/11,-0.009299387
5/3/11,-0.012382929
5/4/11,-0.007249459
5/5/11,-0.001473717
5/6/11,0.008741366
5/9/11,0.015800013
5/10/11,0.019345256
5/11/11,-0.009074742
5/12/11,0.013731123
5/13/11,-0.01160373
5/16/11,-0.026881799
5/17/11,-0.00604754
5/18/11,0.016633432
5/19/11,0.002817218
5/20/11,-0.005413046
5/23/11,-0.018025908
5/24/11,-0.008896049
5/25/11,0.01426144
5/26/11,0.008960142
5/27/11,0.004557515
5/31/11,0.013084576
6/1/11,-0.027085309
6/2/11,-9.31E-05
6/3/11,-0.0215059
6/6/11,-0.01589513
6/7/11,0.007291387
6/8/11,-0.019469744
6/9/11,0.003341776
6/10/11,-0.014196787
6/13/11,-0.009131415
6/14/11,0.019351286
6/15/11,-0.021599233
6/16/11,-0.011894098
6/17/11,-0.008290019
6/20/11,0.002617348
6/21/11,0.034200989
6/22/11,-0.000923207
6/23/11,0.013377146
6/24/11,-0.01334993
6/27/11,0.01178076
6/28/11,0.010393685
6/29/11,0.00379178
6/30/11,0.015981515
7/1/11,0.018883304
